# x	y	u	v	flags	mask
4.2400e+02	1.7680e+03	1.4316e+01	2.0239e+00	0.0000e+00	0.0000e+00
4.8000e+02	1.7680e+03	-1.3878e-01	8.7298e-01	0.0000e+00	0.0000e+00
5.3600e+02	1.7680e+03	1.1615e+00	-6.0562e-01	0.0000e+00	0.0000e+00
5.9200e+02	1.7680e+03	-1.5756e+01	-1.0944e+01	0.0000e+00	0.0000e+00
6.4800e+02	1.7680e+03	1.9038e+01	2.5835e+01	0.0000e+00	0.0000e+00
7.0400e+02	1.7680e+03	-2.9361e+01	-2.2645e+01	0.0000e+00	0.0000e+00
7.6000e+02	1.7680e+03	4.3824e+00	-1.5582e+01	0.0000e+00	0.0000e+00
8.1600e+02	1.7680e+03	9.9363e-02	-3.2342e-01	0.0000e+00	0.0000e+00
8.7200e+02	1.7680e+03	-3.7176e+00	6.8216e+00	0.0000e+00	0.0000e+00
9.2800e+02	1.7680e+03	-1.2869e+00	-2.2486e+01	0.0000e+00	0.0000e+00
9.8400e+02	1.7680e+03	1.0991e-01	5.7425e-01	0.0000e+00	0.0000e+00
1.0400e+03	1.7680e+03	-1.9417e-01	-3.6687e+00	0.0000e+00	0.0000e+00
3.2000e+01	1.7120e+03	-1.5068e+01	1.7695e+01	0.0000e+00	0.0000e+00
8.8000e+01	1.7120e+03	-1.8392e+01	1.8167e+01	0.0000e+00	0.0000e+00
1.4400e+02	1.7120e+03	3.6929e-01	6.2397e-01	0.0000e+00	0.0000e+00
2.0000e+02	1.7120e+03	7.4483e+00	-8.4439e-01	0.0000e+00	0.0000e+00
2.5600e+02	1.7120e+03	2.6301e+01	-1.7300e+00	0.0000e+00	0.0000e+00
3.1200e+02	1.7120e+03	-2.4500e+01	-1.5749e+01	0.0000e+00	0.0000e+00
3.6800e+02	1.7120e+03	1.5651e+01	2.8891e+00	0.0000e+00	0.0000e+00
4.2400e+02	1.7120e+03	-4.7358e+00	3.1048e+00	0.0000e+00	0.0000e+00
4.8000e+02	1.7120e+03	-1.4687e+01	2.7969e+01	0.0000e+00	0.0000e+00
5.3600e+02	1.7120e+03	2.6776e+01	-2.0273e+01	0.0000e+00	0.0000e+00
5.9200e+02	1.7120e+03	1.9787e+01	2.7393e+01	0.0000e+00	0.0000e+00
6.4800e+02	1.7120e+03	1.5556e+01	3.9881e+00	0.0000e+00	0.0000e+00
7.0400e+02	1.7120e+03	8.3873e+00	-1.9072e+00	0.0000e+00	0.0000e+00
7.6000e+02	1.7120e+03	7.9307e-01	1.3416e-01	0.0000e+00	0.0000e+00
8.1600e+02	1.7120e+03	8.4691e+00	-1.5836e+01	0.0000e+00	0.0000e+00
8.7200e+02	1.7120e+03	-1.2050e+01	5.4835e+00	0.0000e+00	0.0000e+00
9.2800e+02	1.7120e+03	-9.2230e-01	2.6128e+01	0.0000e+00	0.0000e+00
9.8400e+02	1.7120e+03	1.7995e+01	-1.3982e+01	0.0000e+00	0.0000e+00
1.0400e+03	1.7120e+03	2.9979e+01	-1.5576e+01	0.0000e+00	0.0000e+00
3.2000e+01	1.6560e+03	-1.1264e-01	1.0082e-02	0.0000e+00	0.0000e+00
8.8000e+01	1.6560e+03	1.5545e+01	-1.5550e+01	0.0000e+00	0.0000e+00
1.4400e+02	1.6560e+03	3.0297e+01	3.0670e+01	0.0000e+00	0.0000e+00
2.0000e+02	1.6560e+03	-1.9447e+00	1.4711e+00	0.0000e+00	0.0000e+00
2.5600e+02	1.6560e+03	2.5690e+00	-3.4896e+00	0.0000e+00	0.0000e+00
3.1200e+02	1.6560e+03	9.1274e-01	-9.6803e+00	0.0000e+00	0.0000e+00
3.6800e+02	1.6560e+03	2.5727e+00	-1.4199e+00	0.0000e+00	0.0000e+00
4.2400e+02	1.6560e+03	1.9576e+01	1.7381e+01	0.0000e+00	0.0000e+00
4.8000e+02	1.6560e+03	-2.2625e+01	1.5937e+01	0.0000e+00	0.0000e+00
5.3600e+02	1.6560e+03	-1.5873e+01	4.5195e+00	0.0000e+00	0.0000e+00
5.9200e+02	1.6560e+03	-5.0103e+00	-1.0905e+01	0.0000e+00	0.0000e+00
6.4800e+02	1.6560e+03	-2.9411e+01	2.7341e+01	0.0000e+00	0.0000e+00
7.0400e+02	1.6560e+03	4.6097e+00	6.0232e+00	0.0000e+00	0.0000e+00
7.6000e+02	1.6560e+03	-1.5682e+01	4.7386e+00	0.0000e+00	0.0000e+00
8.1600e+02	1.6560e+03	-6.3082e-01	1.3834e+00	0.0000e+00	0.0000e+00
8.7200e+02	1.6560e+03	-1.2683e+01	-4.2852e+00	0.0000e+00	0.0000e+00
9.2800e+02	1.6560e+03	4.2124e+00	1.2098e+01	0.0000e+00	0.0000e+00
9.8400e+02	1.6560e+03	-2.7425e+01	2.2105e+01	0.0000e+00	0.0000e+00
1.0400e+03	1.6560e+03	7.5759e-02	-4.3342e-01	0.0000e+00	0.0000e+00
3.2000e+01	1.6000e+03	-1.0000e+01	7.8431e+00	0.0000e+00	0.0000e+00
8.8000e+01	1.6000e+03	1.5661e+01	1.5484e+01	0.0000e+00	0.0000e+00
1.4400e+02	1.6000e+03	-1.6309e+01	2.1486e+01	0.0000e+00	0.0000e+00
2.0000e+02	1.6000e+03	1.0176e+01	-7.8614e+00	0.0000e+00	0.0000e+00
2.5600e+02	1.6000e+03	-2.0708e+01	-1.5718e+01	0.0000e+00	0.0000e+00
3.1200e+02	1.6000e+03	-5.1614e+00	-7.6984e+00	0.0000e+00	0.0000e+00
3.6800e+02	1.6000e+03	1.5568e+01	-5.3329e+00	0.0000e+00	0.0000e+00
4.2400e+02	1.6000e+03	-1.8052e+00	-9.2002e+00	0.0000e+00	0.0000e+00
4.8000e+02	1.6000e+03	4.4572e+00	7.9743e-01	0.0000e+00	0.0000e+00
5.3600e+02	1.6000e+03	1.6289e+01	2.9368e+01	0.0000e+00	0.0000e+00
5.9200e+02	1.6000e+03	1.5777e+01	-5.2758e+00	0.0000e+00	0.0000e+00
6.4800e+02	1.6000e+03	2.6229e+01	-2.7914e+01	0.0000e+00	0.0000e+00
7.0400e+02	1.6000e+03	1.5554e+01	-3.6453e+00	0.0000e+00	0.0000e+00
7.6000e+02	1.6000e+03	1.7312e+01	3.0133e+01	0.0000e+00	0.0000e+00
8.1600e+02	1.6000e+03	-1.5831e+01	-8.8903e+00	0.0000e+00	0.0000e+00
8.7200e+02	1.6000e+03	1.2624e+01	-2.7596e+01	0.0000e+00	0.0000e+00
9.2800e+02	1.6000e+03	3.0040e+01	-6.4844e+00	0.0000e+00	0.0000e+00
9.8400e+02	1.6000e+03	-2.0615e+01	-3.7783e+00	0.0000e+00	0.0000e+00
1.0400e+03	1.6000e+03	-9.4909e-01	5.5170e+00	0.0000e+00	0.0000e+00
3.2000e+01	1.5440e+03	-1.9287e+01	-7.3219e+00	0.0000e+00	0.0000e+00
8.8000e+01	1.5440e+03	1.3710e+00	-3.2520e+00	0.0000e+00	0.0000e+00
